,dataset,cleaned,round,model,testAccuracy
570,MUTAG,no,6,DK,0.868421052631579
571,MUTAG,no,6,uGCN,0.7894736842105263
572,MUTAG,no,6,Mix,0.8421052631578947
573,MUTAG,no,6,GCN-A,0.8105263157894738
574,MUTAG,no,6,GCN-B,0.868421052631579
575,MUTAG,no,7,DK,0.7631578947368421
576,MUTAG,no,7,uGCN,0.7105263157894737
577,MUTAG,no,7,Mix,0.868421052631579
578,MUTAG,no,7,GCN-A,0.7157894736842105
579,MUTAG,no,7,GCN-B,0.8157894736842105
580,MUTAG,no,8,DK,0.868421052631579
581,MUTAG,no,8,uGCN,0.8157894736842105
582,MUTAG,no,8,Mix,0.868421052631579
583,MUTAG,no,8,GCN-A,0.6815789473684211
584,MUTAG,no,8,GCN-B,0.7631578947368421
585,MUTAG,no,9,DK,0.7894736842105263
586,MUTAG,no,9,uGCN,0.7368421052631579
587,MUTAG,no,9,Mix,0.9210526315789473
588,MUTAG,no,9,GCN-A,0.8289473684210528
589,MUTAG,no,9,GCN-B,0.8421052631578947
590,MUTAG,no,10,DK,0.7631578947368421
591,MUTAG,no,10,uGCN,0.7894736842105263
592,MUTAG,no,10,Mix,0.8157894736842105
593,MUTAG,no,10,GCN-A,0.786842105263158
594,MUTAG,no,10,GCN-B,0.8421052631578947
595,MUTAG,no,11,DK,0.8421052631578947
596,MUTAG,no,11,uGCN,0.7631578947368421
597,MUTAG,no,11,Mix,0.8157894736842105
598,MUTAG,no,11,GCN-A,0.7289473684210526
599,MUTAG,no,11,GCN-B,0.7631578947368421
600,PROTEINS,yes,0,DK,0.6410256410256411
601,PROTEINS,yes,0,uGCN,0.7025641025641025
602,PROTEINS,yes,0,Mix,0.6820512820512821
603,PROTEINS,yes,0,GCN-A,0.7538461538461538
604,PROTEINS,yes,0,GCN-B,0.7794871794871795
605,PROTEINS,yes,1,DK,0.6615384615384615
606,PROTEINS,yes,1,uGCN,0.6974358974358974
607,PROTEINS,yes,1,Mix,0.7025641025641025
608,PROTEINS,yes,1,GCN-A,0.7235897435897437
609,PROTEINS,yes,1,GCN-B,0.7538461538461538
610,PROTEINS,yes,2,DK,0.6615384615384615
611,PROTEINS,yes,2,uGCN,0.676923076923077
612,PROTEINS,yes,2,Mix,0.7128205128205128
613,PROTEINS,yes,2,GCN-A,0.7615384615384615
614,PROTEINS,yes,2,GCN-B,0.7897435897435897
615,PROTEINS,yes,3,DK,0.6974358974358974
616,PROTEINS,yes,3,uGCN,0.7538461538461538
617,PROTEINS,yes,3,Mix,0.7487179487179487
618,PROTEINS,yes,3,GCN-A,0.7507692307692307
619,PROTEINS,yes,3,GCN-B,0.7794871794871795
620,PROTEINS,yes,4,DK,0.7025641025641025
621,PROTEINS,yes,4,uGCN,0.6974358974358974
622,PROTEINS,yes,4,Mix,0.6923076923076923
623,PROTEINS,yes,4,GCN-A,0.6825641025641026
624,PROTEINS,yes,4,GCN-B,0.7128205128205128
625,PROTEINS,yes,5,DK,0.7487179487179487
626,PROTEINS,yes,5,uGCN,0.6820512820512821
627,PROTEINS,yes,5,Mix,0.7128205128205128
628,PROTEINS,yes,5,GCN-A,0.7512820512820513
629,PROTEINS,yes,5,GCN-B,0.7743589743589744
630,PROTEINS,yes,6,DK,0.6410256410256411
631,PROTEINS,yes,6,uGCN,0.676923076923077
632,PROTEINS,yes,6,Mix,0.6615384615384615
633,PROTEINS,yes,6,GCN-A,0.7476923076923077
634,PROTEINS,yes,6,GCN-B,0.7692307692307693
635,PROTEINS,yes,7,DK,0.6923076923076923
636,PROTEINS,yes,7,uGCN,0.6512820512820513
637,PROTEINS,yes,7,Mix,0.7128205128205128
638,PROTEINS,yes,7,GCN-A,0.7323076923076923
639,PROTEINS,yes,7,GCN-B,0.7435897435897436
640,PROTEINS,yes,8,DK,0.6974358974358974
641,PROTEINS,yes,8,uGCN,0.6615384615384615
642,PROTEINS,yes,8,Mix,0.6871794871794872
643,PROTEINS,yes,8,GCN-A,0.6943589743589744
644,PROTEINS,yes,8,GCN-B,0.717948717948718
645,PROTEINS,yes,9,DK,0.676923076923077
646,PROTEINS,yes,9,uGCN,0.7076923076923077
647,PROTEINS,yes,9,Mix,0.717948717948718
648,PROTEINS,yes,9,GCN-A,0.736923076923077
649,PROTEINS,yes,9,GCN-B,0.7692307692307693
650,PROTEINS,yes,10,DK,0.6974358974358974
651,PROTEINS,yes,10,uGCN,0.7025641025641025
652,PROTEINS,yes,10,Mix,0.6974358974358974
653,PROTEINS,yes,10,GCN-A,0.7148717948717949
654,PROTEINS,yes,10,GCN-B,0.7435897435897436
655,PROTEINS,yes,11,DK,0.6923076923076923
656,PROTEINS,yes,11,uGCN,0.6820512820512821
657,PROTEINS,yes,11,Mix,0.6923076923076923
658,PROTEINS,yes,11,GCN-A,0.7092307692307692
659,PROTEINS,yes,11,GCN-B,0.7282051282051282
660,PROTEINS,no,0,DK,0.7399103139013453
661,PROTEINS,no,0,uGCN,0.7399103139013453
662,PROTEINS,no,0,Mix,0.7488789237668162
663,PROTEINS,no,0,GCN-A,0.7147982062780269
664,PROTEINS,no,0,GCN-B,0.757847533632287
665,PROTEINS,no,1,DK,0.672645739910314
666,PROTEINS,no,1,uGCN,0.6816143497757847
667,PROTEINS,no,1,Mix,0.6771300448430493
668,PROTEINS,no,1,GCN-A,0.6856502242152466
669,PROTEINS,no,1,GCN-B,0.7354260089686099
670,PROTEINS,no,2,DK,0.6636771300448431
671,PROTEINS,no,2,uGCN,0.6636771300448431
672,PROTEINS,no,2,Mix,0.6816143497757847
673,PROTEINS,no,2,GCN-A,0.6609865470852018
674,PROTEINS,no,2,GCN-B,0.7085201793721974
675,PROTEINS,no,3,DK,0.6681614349775785
676,PROTEINS,no,3,uGCN,0.7040358744394619
677,PROTEINS,no,3,Mix,0.6816143497757847
678,PROTEINS,no,3,GCN-A,0.7251121076233183
679,PROTEINS,no,3,GCN-B,0.7443946188340808
680,PROTEINS,no,4,DK,0.6816143497757847
681,PROTEINS,no,4,uGCN,0.6905829596412556
682,PROTEINS,no,4,Mix,0.6995515695067265
683,PROTEINS,no,4,GCN-A,0.6757847533632286
684,PROTEINS,no,4,GCN-B,0.726457399103139
685,PROTEINS,no,5,DK,0.6278026905829597
686,PROTEINS,no,5,uGCN,0.6816143497757847
687,PROTEINS,no,5,Mix,0.6816143497757847
688,PROTEINS,no,5,GCN-A,0.6896860986547086
689,PROTEINS,no,5,GCN-B,0.7488789237668162
690,PROTEINS,no,6,DK,0.6412556053811659
691,PROTEINS,no,6,uGCN,0.672645739910314
692,PROTEINS,no,6,Mix,0.6771300448430493
693,PROTEINS,no,6,GCN-A,0.720627802690583
694,PROTEINS,no,6,GCN-B,0.7623318385650224
695,PROTEINS,no,7,DK,0.6681614349775785
696,PROTEINS,no,7,uGCN,0.6771300448430493
697,PROTEINS,no,7,Mix,0.7085201793721974
698,PROTEINS,no,7,GCN-A,0.6825112107623318
699,PROTEINS,no,7,GCN-B,0.7219730941704036
700,PROTEINS,no,8,DK,0.6547085201793722
701,PROTEINS,no,8,uGCN,0.6502242152466368
702,PROTEINS,no,8,Mix,0.672645739910314
703,PROTEINS,no,8,GCN-A,0.684304932735426
704,PROTEINS,no,8,GCN-B,0.7174887892376681
705,PROTEINS,no,9,DK,0.672645739910314
706,PROTEINS,no,9,uGCN,0.6681614349775785
707,PROTEINS,no,9,Mix,0.6905829596412556
708,PROTEINS,no,9,GCN-A,0.6704035874439462
709,PROTEINS,no,9,GCN-B,0.6995515695067265
710,PROTEINS,no,10,DK,0.6905829596412556
711,PROTEINS,no,10,uGCN,0.6771300448430493
712,PROTEINS,no,10,Mix,0.7130044843049327
713,PROTEINS,no,10,GCN-A,0.7076233183856503
714,PROTEINS,no,10,GCN-B,0.7488789237668162
715,PROTEINS,no,11,DK,0.6367713004484304
716,PROTEINS,no,11,uGCN,0.7085201793721974
717,PROTEINS,no,11,Mix,0.7085201793721974
718,PROTEINS,no,11,GCN-A,0.6847533632286995
719,PROTEINS,no,11,GCN-B,0.7443946188340808
